  - 74179510
अ# - 35890566
ा - 26552703
े - 19433923
क् - 19249075
र् - 13548199
ी - 12765477
ि - 11893167
ं - 11490604
स् - 10578892
ह् - 9851258
न् - 9834506
म् - 8773014
ो - 8235271
त् - 7316247
प् - 7202071
ल् - 6981729
र - 6626994
य् - 6105999
व् - 5251710
द् - 4923466
ज् - 4723313
ब् - 4403706
ु - 4081772
ै - 4019273
ग् - 3881093
न - 2900781
ए - 2727667
अ - 2417492
श् - 2297230
च् - 2227929
ट् - 2216868
भ् - 2139241
त - 2032654
ू - 1991722
आ - 1979064
क - 1934188
ल - 1785704
इ - 1773727
ड् - 1740758
स - 1692453
उ - 1525805
ख् - 1412020
थ् - 1352511
ध् - 1348753
म - 1275866
ई - 1169696
फ् - 1130514
औ - 1123770
य - 1079167
ह - 1004755
़ - 1001152
ष् - 955199
द - 873252
ट - 820493
0 - 705302
व - 692910
ग - 691898
ौ - 615944
ब - 593935
ज - 551083
श - 540558
प - 503241
ण - 463491
छ् - 432446
ॉ - 405775
ण् - 400821
थ - 381927
घ् - 376048
ड - 371654
च - 369429
ओ - 350245
ठ् - 337378
ष - 240672
ढ् - 239227
ृ - 236547
फ - 220824
ड़ - 218710
झ् - 201320
ख - 183607
ध - 181840
ऐ - 177518
छ - 161490
ँ - 139097
ऑ - 97625
ऊ - 79318
ठ - 75462
भ - 61334
ढ़ - 59826
ञ् - 58399
ज़ - 48950
ळ् - 41102
ः - 26245
घ - 24931
फ़ - 23084
झ - 22634
ॅ - 15601
ऋ - 14680
़् - 13963
ख़ - 11265
